"Statistic","Year","Area of Origin","UNIT","VALUE"
"Consumption Goods (Food, Drink and Tobacco)","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1946","All Countries","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1947","All Countries","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1948","All Countries","Euro Thousand","16095"
"Consumption Goods (Food, Drink and Tobacco)","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1949","All Countries","Euro Thousand","12894"
"Consumption Goods (Food, Drink and Tobacco)","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1950","All Countries","Euro Thousand","15972"
"Consumption Goods (Food, Drink and Tobacco)","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1951","All Countries","Euro Thousand","25804"
"Consumption Goods (Food, Drink and Tobacco)","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1952","All Countries","Euro Thousand","16594"
"Consumption Goods (Food, Drink and Tobacco)","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1953","All Countries","Euro Thousand","18999"
"Consumption Goods (Food, Drink and Tobacco)","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1954","All Countries","Euro Thousand","17172"
"Consumption Goods (Food, Drink and Tobacco)","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1955","All Countries","Euro Thousand","20181"
"Consumption Goods (Food, Drink and Tobacco)","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1956","All Countries","Euro Thousand","13217"
"Consumption Goods (Food, Drink and Tobacco)","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1957","All Countries","Euro Thousand","17143"
"Consumption Goods (Food, Drink and Tobacco)","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1958","All Countries","Euro Thousand","16279"
"Consumption Goods (Food, Drink and Tobacco)","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1959","All Countries","Euro Thousand","17298"
"Consumption Goods (Food, Drink and Tobacco)","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1960","All Countries","Euro Thousand","17705"
"Consumption Goods (Food, Drink and Tobacco)","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1961","All Countries","Euro Thousand","20325"
"Consumption Goods (Food, Drink and Tobacco)","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1962","All Countries","Euro Thousand","21892"
"Consumption Goods (Food, Drink and Tobacco)","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1963","All Countries","Euro Thousand","25287"
"Consumption Goods (Food, Drink and Tobacco)","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1964","All Countries","Euro Thousand","25146"
"Consumption Goods (Food, Drink and Tobacco)","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1965","All Countries","Euro Thousand","29506"
"Consumption Goods (Food, Drink and Tobacco)","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1966","All Countries","Euro Thousand","30037"
"Consumption Goods (Food, Drink and Tobacco)","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1967","All Countries","Euro Thousand","31797"
"Consumption Goods (Food, Drink and Tobacco)","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1968","All Countries","Euro Thousand","37419"
"Consumption Goods (Food, Drink and Tobacco)","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1969","All Countries","Euro Thousand","40167"
"Consumption Goods (Food, Drink and Tobacco)","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1970","All Countries","Euro Thousand","43478"
"Consumption Goods (Food, Drink and Tobacco)","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1971","All Countries","Euro Thousand","47229"
"Consumption Goods (Food, Drink and Tobacco)","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1971","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1971","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1972","All Countries","Euro Thousand","62161"
"Consumption Goods (Food, Drink and Tobacco)","1972","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1972","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1972","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1973","All Countries","Euro Thousand","78149"
"Consumption Goods (Food, Drink and Tobacco)","1973","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1973","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1973","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1974","All Countries","Euro Thousand","107637"
"Consumption Goods (Food, Drink and Tobacco)","1974","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1974","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1974","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1975","All Countries","Euro Thousand","128011"
"Consumption Goods (Food, Drink and Tobacco)","1975","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1975","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1975","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1976","All Countries","Euro Thousand","162443"
"Consumption Goods (Food, Drink and Tobacco)","1976","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1976","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1976","Great Britain and Northern Ireland","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1977","All Countries","Euro Thousand","225379"
"Consumption Goods (Food, Drink and Tobacco)","1977","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1977","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","42028"
"Consumption Goods (Food, Drink and Tobacco)","1977","Great Britain and Northern Ireland","Euro Thousand","114022"
"Consumption Goods (Food, Drink and Tobacco)","1978","All Countries","Euro Thousand","262582"
"Consumption Goods (Food, Drink and Tobacco)","1978","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1978","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","50663"
"Consumption Goods (Food, Drink and Tobacco)","1978","Great Britain and Northern Ireland","Euro Thousand","143226"
"Consumption Goods (Food, Drink and Tobacco)","1979","All Countries","Euro Thousand","323783"
"Consumption Goods (Food, Drink and Tobacco)","1979","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1979","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","64757"
"Consumption Goods (Food, Drink and Tobacco)","1979","Great Britain and Northern Ireland","Euro Thousand","188048"
"Consumption Goods (Food, Drink and Tobacco)","1980","All Countries","Euro Thousand","427267"
"Consumption Goods (Food, Drink and Tobacco)","1980","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1980","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","78243"
"Consumption Goods (Food, Drink and Tobacco)","1980","Great Britain and Northern Ireland","Euro Thousand","256741"
"Consumption Goods (Food, Drink and Tobacco)","1981","All Countries","Euro Thousand","549797"
"Consumption Goods (Food, Drink and Tobacco)","1981","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1981","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","105642"
"Consumption Goods (Food, Drink and Tobacco)","1981","Great Britain and Northern Ireland","Euro Thousand","348162"
"Consumption Goods (Food, Drink and Tobacco)","1982","All Countries","Euro Thousand","587254"
"Consumption Goods (Food, Drink and Tobacco)","1982","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1982","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","135354"
"Consumption Goods (Food, Drink and Tobacco)","1982","Great Britain and Northern Ireland","Euro Thousand","352225"
"Consumption Goods (Food, Drink and Tobacco)","1983","All Countries","Euro Thousand","642995"
"Consumption Goods (Food, Drink and Tobacco)","1983","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1983","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","139163"
"Consumption Goods (Food, Drink and Tobacco)","1983","Great Britain and Northern Ireland","Euro Thousand","396285"
"Consumption Goods (Food, Drink and Tobacco)","1984","All Countries","Euro Thousand","743305"
"Consumption Goods (Food, Drink and Tobacco)","1984","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1984","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","177001"
"Consumption Goods (Food, Drink and Tobacco)","1984","Great Britain and Northern Ireland","Euro Thousand","434504"
"Consumption Goods (Food, Drink and Tobacco)","1985","All Countries","Euro Thousand","801332"
"Consumption Goods (Food, Drink and Tobacco)","1985","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1985","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","204047"
"Consumption Goods (Food, Drink and Tobacco)","1985","Great Britain and Northern Ireland","Euro Thousand","477929"
"Consumption Goods (Food, Drink and Tobacco)","1986","All Countries","Euro Thousand","813907"
"Consumption Goods (Food, Drink and Tobacco)","1986","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1986","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","230875"
"Consumption Goods (Food, Drink and Tobacco)","1986","Great Britain and Northern Ireland","Euro Thousand","468248"
"Consumption Goods (Food, Drink and Tobacco)","1987","All Countries","Euro Thousand","858443"
"Consumption Goods (Food, Drink and Tobacco)","1987","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1987","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","243438"
"Consumption Goods (Food, Drink and Tobacco)","1987","Great Britain and Northern Ireland","Euro Thousand","499458"
"Consumption Goods (Food, Drink and Tobacco)","1988","All Countries","Euro Thousand","945401"
"Consumption Goods (Food, Drink and Tobacco)","1988","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1988","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","265821"
"Consumption Goods (Food, Drink and Tobacco)","1988","Great Britain and Northern Ireland","Euro Thousand","558323"
"Consumption Goods (Food, Drink and Tobacco)","1989","All Countries","Euro Thousand","1046151"
"Consumption Goods (Food, Drink and Tobacco)","1989","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1989","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","296364"
"Consumption Goods (Food, Drink and Tobacco)","1989","Great Britain and Northern Ireland","Euro Thousand","619639"
"Consumption Goods (Food, Drink and Tobacco)","1990","All Countries","Euro Thousand","1095946"
"Consumption Goods (Food, Drink and Tobacco)","1990","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1990","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","317144"
"Consumption Goods (Food, Drink and Tobacco)","1990","Great Britain and Northern Ireland","Euro Thousand","645967"
"Consumption Goods (Food, Drink and Tobacco)","1991","All Countries","Euro Thousand","1234265"
"Consumption Goods (Food, Drink and Tobacco)","1991","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1991","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","359637"
"Consumption Goods (Food, Drink and Tobacco)","1991","Great Britain and Northern Ireland","Euro Thousand","739949"
"Consumption Goods (Food, Drink and Tobacco)","1992","All Countries","Euro Thousand","1313591"
"Consumption Goods (Food, Drink and Tobacco)","1992","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1992","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","371425"
"Consumption Goods (Food, Drink and Tobacco)","1992","Great Britain and Northern Ireland","Euro Thousand","804357"
"Consumption Goods (Food, Drink and Tobacco)","1993","All Countries","Euro Thousand","1257422"
"Consumption Goods (Food, Drink and Tobacco)","1993","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1993","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","346004"
"Consumption Goods (Food, Drink and Tobacco)","1993","Great Britain and Northern Ireland","Euro Thousand","756764"
"Consumption Goods (Food, Drink and Tobacco)","1994","All Countries","Euro Thousand","1426805"
"Consumption Goods (Food, Drink and Tobacco)","1994","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1994","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","412665"
"Consumption Goods (Food, Drink and Tobacco)","1994","Great Britain and Northern Ireland","Euro Thousand","845900"
"Consumption Goods (Food, Drink and Tobacco)","1995","All Countries","Euro Thousand","1505655"
"Consumption Goods (Food, Drink and Tobacco)","1995","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1995","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","438948"
"Consumption Goods (Food, Drink and Tobacco)","1995","Great Britain and Northern Ireland","Euro Thousand","901514"
"Consumption Goods (Food, Drink and Tobacco)","1996","All Countries","Euro Thousand","1627042"
"Consumption Goods (Food, Drink and Tobacco)","1996","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1996","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","479834"
"Consumption Goods (Food, Drink and Tobacco)","1996","Great Britain and Northern Ireland","Euro Thousand","952050"
"Consumption Goods (Food, Drink and Tobacco)","1997","All Countries","Euro Thousand","1783347"
"Consumption Goods (Food, Drink and Tobacco)","1997","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1997","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","490373"
"Consumption Goods (Food, Drink and Tobacco)","1997","Great Britain and Northern Ireland","Euro Thousand","1082452"
"Consumption Goods (Food, Drink and Tobacco)","1998","All Countries","Euro Thousand","2022058"
"Consumption Goods (Food, Drink and Tobacco)","1998","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1998","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","554241"
"Consumption Goods (Food, Drink and Tobacco)","1998","Great Britain and Northern Ireland","Euro Thousand","1243708"
"Consumption Goods (Food, Drink and Tobacco)","1999","All Countries","Euro Thousand","2292893"
"Consumption Goods (Food, Drink and Tobacco)","1999","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","1999","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","639186"
"Consumption Goods (Food, Drink and Tobacco)","1999","Great Britain and Northern Ireland","Euro Thousand","1403822"
"Consumption Goods (Food, Drink and Tobacco)","2000","All Countries","Euro Thousand","2481500"
"Consumption Goods (Food, Drink and Tobacco)","2000","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2000","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","699100"
"Consumption Goods (Food, Drink and Tobacco)","2000","Great Britain and Northern Ireland","Euro Thousand","1498400"
"Consumption Goods (Food, Drink and Tobacco)","2001","All Countries","Euro Thousand","2881800"
"Consumption Goods (Food, Drink and Tobacco)","2001","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2001","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","885200"
"Consumption Goods (Food, Drink and Tobacco)","2001","Great Britain and Northern Ireland","Euro Thousand","1653500"
"Consumption Goods (Food, Drink and Tobacco)","2002","All Countries","Euro Thousand","2958800"
"Consumption Goods (Food, Drink and Tobacco)","2002","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2002","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","938300"
"Consumption Goods (Food, Drink and Tobacco)","2002","Great Britain and Northern Ireland","Euro Thousand","1670600"
"Consumption Goods (Food, Drink and Tobacco)","2003","All Countries","Euro Thousand","2952600"
"Consumption Goods (Food, Drink and Tobacco)","2003","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2003","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","969800"
"Consumption Goods (Food, Drink and Tobacco)","2003","Great Britain and Northern Ireland","Euro Thousand","1658000"
"Consumption Goods (Food, Drink and Tobacco)","2004","All Countries","Euro Thousand","3059800"
"Consumption Goods (Food, Drink and Tobacco)","2004","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2004","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1002300"
"Consumption Goods (Food, Drink and Tobacco)","2004","Great Britain and Northern Ireland","Euro Thousand","1705200"
"Consumption Goods (Food, Drink and Tobacco)","2005","All Countries","Euro Thousand","3480300"
"Consumption Goods (Food, Drink and Tobacco)","2005","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2005","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1209900"
"Consumption Goods (Food, Drink and Tobacco)","2005","Great Britain and Northern Ireland","Euro Thousand","1880200"
"Consumption Goods (Food, Drink and Tobacco)","2006","All Countries","Euro Thousand","3822900"
"Consumption Goods (Food, Drink and Tobacco)","2006","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2006","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1362100"
"Consumption Goods (Food, Drink and Tobacco)","2006","Great Britain and Northern Ireland","Euro Thousand","2023100"
"Consumption Goods (Food, Drink and Tobacco)","2007","All Countries","Euro Thousand","4263400"
"Consumption Goods (Food, Drink and Tobacco)","2007","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2007","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1597500"
"Consumption Goods (Food, Drink and Tobacco)","2007","Great Britain and Northern Ireland","Euro Thousand","2186200"
"Consumption Goods (Food, Drink and Tobacco)","2008","All Countries","Euro Thousand","4311800"
"Consumption Goods (Food, Drink and Tobacco)","2008","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2008","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1618200"
"Consumption Goods (Food, Drink and Tobacco)","2008","Great Britain and Northern Ireland","Euro Thousand","2287500"
"Consumption Goods (Food, Drink and Tobacco)","2009","All Countries","Euro Thousand","4017800"
"Consumption Goods (Food, Drink and Tobacco)","2009","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2009","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1473300"
"Consumption Goods (Food, Drink and Tobacco)","2009","Great Britain and Northern Ireland","Euro Thousand","2111400"
"Consumption Goods (Food, Drink and Tobacco)","2010","All Countries","Euro Thousand","4192100"
"Consumption Goods (Food, Drink and Tobacco)","2010","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2010","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1521700"
"Consumption Goods (Food, Drink and Tobacco)","2010","Great Britain and Northern Ireland","Euro Thousand","2200100"
"Consumption Goods (Food, Drink and Tobacco)","2011","All Countries","Euro Thousand","4481300"
"Consumption Goods (Food, Drink and Tobacco)","2011","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2011","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1592200"
"Consumption Goods (Food, Drink and Tobacco)","2011","Great Britain and Northern Ireland","Euro Thousand","2375600"
"Consumption Goods (Food, Drink and Tobacco)","2012","All Countries","Euro Thousand","4797300"
"Consumption Goods (Food, Drink and Tobacco)","2012","European Union - 27 countries (from 2020)","Euro Thousand",""
"Consumption Goods (Food, Drink and Tobacco)","2012","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1727300"
"Consumption Goods (Food, Drink and Tobacco)","2012","Great Britain and Northern Ireland","Euro Thousand","2544400"
